山居秋暝,"
空山新雨后，天气晚来秋。
明月松间照，清泉石上流。
竹喧归浣女，莲动下渔舟。
随意春芳歇，王孙自可留。

",王维,https://song.gushiwen.cn/song/jiangweiwei/44ba4afb80db.mp3
春雨,"
怅卧新春白袷衣，白门寥落意多违。
红楼隔雨相望冷，珠箔飘灯独自归。
远路应悲春晼晚，残宵犹得梦依稀。
玉珰缄札何由达，万里云罗一雁飞。

",李商隐,https://song.gushiwen.cn/song/chenlang/9ae72ef063c3.mp3
行宫,"
寥落古行宫，宫花寂寞红。
白头宫女在，闲坐说玄宗。

",元稹,https://song.gushiwen.cn/song/chenlang/45c396367f59.mp3
古柏行,"
孔明庙前有老柏，柯如青铜根如石。
霜皮溜雨四十围，黛色参天二千尺。
君臣已与时际会，树木犹为人爱惜。
云来气接巫峡长，月出寒通雪山白。
忆昨路绕锦亭东，先主武侯同閟宫。
崔嵬枝干郊原古，窈窕丹青户牖空。
落落盘踞虽得地，冥冥孤高多烈风。
扶持自是神明力，正直原因造化工。
大厦如倾要梁栋，万牛回首丘山重。
不露文章世已惊，未辞翦伐谁能送？
苦心岂免容蝼蚁，香叶终经宿鸾凤。
志士幽人莫怨嗟：古来材大难为用。

",杜甫,https://song.gushiwen.cn/song/chenlang/48a71bd6453b.mp3
归嵩山作,"
清川带长薄，车马去闲闲。
流水如有意，暮禽相与还。
荒城临古渡，落日满秋山。
迢递嵩高下，归来且闭关。

",王维,https://song.gushiwen.cn/song/chenlang/a496667a51c2.mp3
筹笔驿,"
猿鸟犹疑畏简书，风云常为护储胥。
徒令上将挥神笔，终见降王走传车。
管乐有才原不忝，关张无命欲何如？
他年锦里经祠庙，梁父吟成恨有余。

",李商隐,https://song.gushiwen.cn/song//1c83ec8bc760.mp3
次北固山下,"
客路青山外，行舟绿水前。(青山外 一作：青山下)
潮平两岸阔，风正一帆悬。
海日生残夜，江春入旧年。
乡书何处达？归雁洛阳边。

",王湾,https://song.gushiwen.cn/song/jiangweiwei/720b46d38537.mp3
登鹳雀楼,"
白日依山尽，黄河入海流。
欲穷千里目，更上一层楼。

",王之涣,https://song.gushiwen.cn/song/jiangweiwei/c90ff9ea5a71.mp3
观公孙大娘弟子舞剑器行,"大历二年十月十九日，夔府别驾元持宅，见临颍李十二娘舞剑器，壮其蔚跂，问其所师，曰：“余公孙大娘弟子也。” 开元五载，余尚童稚，记于郾城观公孙氏，舞剑器浑脱，浏漓顿挫，独出冠时，自高头宜春梨园二伎坊内人洎外供奉舞女，晓是舞者，圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首，今兹弟子，亦非盛颜。既辨其由来，知波澜莫二，抚事慷慨，聊为《剑器行》。昔者吴人张旭，善草书帖，数常于邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激，即公孙可知矣。
昔有佳人公孙氏，一舞剑器动四方。
观者如山色沮丧，天地为之久低昂。
㸌如羿射九日落，矫如群帝骖龙翔。
来如雷霆收震怒，罢如江海凝清光。
绛唇珠袖两寂寞，晚有弟子传芬芳。
临颍美人在白帝，妙舞此曲神扬扬。
与余问答既有以，感时抚事增惋伤。
先帝侍女八千人，公孙剑器初第一。
五十年间似反掌，风尘澒洞昏王室。
梨园弟子散如烟，女乐余姿映寒日。
金粟堆前木已拱，瞿唐石城草萧瑟。
玳筵急管曲复终，乐极哀来月东出。
老夫不知其所往，足茧荒山转愁疾。
",杜甫,https://song.gushiwen.cn/song/chenlang/ab7f5336bda5.mp3
锦瑟,"
锦瑟无端五十弦，一弦一柱思华年。
庄生晓梦迷蝴蝶，望帝春心托杜鹃。
沧海月明珠有泪，蓝田日暖玉生烟。
此情可待成追忆？只是当时已惘然。

",李商隐,https://song.gushiwen.cn/song/chenlang/1921957e6e83.mp3
