古柏行,"
孔明庙前有老柏，柯如青铜根如石。
霜皮溜雨四十围，黛色参天二千尺。
君臣已与时际会，树木犹为人爱惜。
云来气接巫峡长，月出寒通雪山白。
忆昨路绕锦亭东，先主武侯同閟宫。
崔嵬枝干郊原古，窈窕丹青户牖空。
落落盘踞虽得地，冥冥孤高多烈风。
扶持自是神明力，正直原因造化工。
大厦如倾要梁栋，万牛回首丘山重。
不露文章世已惊，未辞翦伐谁能送？
苦心岂免容蝼蚁，香叶终经宿鸾凤。
志士幽人莫怨嗟：古来材大难为用。

",杜甫,"译文
孔明庙前有一株古老的柏树，枝干色如青铜根柢固如盘石。
树皮洁白润滑树干有四十围，青黑色朝天耸立足有二千尺。
刘备孔明君臣遇合与时既往，至今树木犹在仍被人们爱惜。
柏树高耸云雾飘来气接巫峡，月出寒光高照寒气直通岷山。
想昔日小路环绕我的草堂东，先生庙与武侯祠在一个閟宫。
柏树枝干崔嵬郊原增生古致，庙宇深邃漆绘连绵门窗宽空。
古柏独立高耸虽然盘踞得地，但是位高孤傲必定多招烈风。
它得到扶持自然是神明伟力，它正直伟岸原于造物者之功。
大厦如若倾倒要有梁栋支撑，古柏重如丘山万年也难拉动。
它

",,mp3,0,0,0,2021-03-22 14:51:49,1,1
行宫,"
寥落古行宫，宫花寂寞红。
白头宫女在，闲坐说玄宗。

",元稹,"曾经富丽堂皇的古行宫已是一片荒凉冷落，宫中艳丽的花儿在寂寞寥落中开放。
幸存的几个满头白发的宫女，闲坐无事只能谈论着玄宗轶事。
","寥（liáo）落：寂寞冷落。
行宫：皇帝在京城之外的宫殿。这里指当时东都洛阳的皇帝行宫上阳宫。
宫花：行宫里的花。
白头宫女：据
《上阳白发人》，一些宫女天宝末年被“潜配”到上阳宫，在这冷宫里一闭四十多年，成了白发宫人。
说：谈论。
玄宗：指唐玄宗。
",mp3,0,0,0,2021-03-22 14:51:50,1,1
山居秋暝,"
空山新雨后，天气晚来秋。
明月松间照，清泉石上流。
竹喧归浣女，莲动下渔舟。
随意春芳歇，王孙自可留。

",王维,"译文
新雨过后山谷里空旷清新，初秋傍晚的天气特别凉爽。
明月映照着幽静的松林间，清澈泉水在山石上淙淙淌流。
竹林中少女喧笑洗衣归来，莲叶轻摇是上游荡下轻舟。
任凭春天的美景消歇，眼前的秋景足以令人流连。
","注释
暝（míng）：日落时分，天色将晚。
空山：空旷，空寂的山野。
新：刚刚。
清泉石上流：写的正是雨后的景色。
竹喧：竹林中笑语喧哗。
喧：喧哗，这里指竹叶发出沙沙声响。
浣（huàn）女：洗衣服的女子。
浣：洗涤衣物。
随意：任凭。

",mp3,0,0,0,2021-03-22 14:51:50,1,1
春雨,"
怅卧新春白袷衣，白门寥落意多违。
红楼隔雨相望冷，珠箔飘灯独自归。
远路应悲春晼晚，残宵犹得梦依稀。
玉珰缄札何由达，万里云罗一雁飞。

",李商隐,"译文
新春时节，我身披白衫怅然地卧在床上；幽会的白门冷落了，令我万分感伤。
隔着蒙蒙细雨凝视红楼更觉凄凉，只好顶着珠帘般的细雨，在依稀闪烁的灯光中黯然归来。
凄楚的暮春，遥远的路途，哪里可以寄托我的悲凄伤感？只有在残宵梦中才能与你相见。
耳环情书已备好，怎么才能送达？只有寄希望于万里长空中，那一只刚刚飞来的鸿雁。。
","注释
白袷衣：即白夹衣，唐人以白衫为闲居便服。
白门：金陵的别称，即现南京。南朝乐府民歌《杨叛儿》说：“暂出白门前，杨柳可藏乌。欢作沉水香，侬作博山炉”，讲的是男女欢会。后人常用“白门”指代男女幽会之

",mp3,0,0,0,2021-03-22 14:51:50,1,1
登鹳雀楼,"
白日依山尽，黄河入海流。
欲穷千里目，更上一层楼。

",王之涣,"译文
夕阳依傍着山峦慢慢沉落，滔滔黄河朝着大海汹涌奔流。
想要看到千里之外的风光，那就要再登上更高的一层城楼。 
","注释
鹳（guàn）雀（què）楼：旧址在山西永济县，楼高三层，前对中条山，下临黄河。传说常有鹳雀在此停留，故有此名。
白日：太阳。
依：依傍。
尽：消失。 这句话是说太阳依傍山峦沉落。
欲：想要得到某种东西或达到某种目的的愿望，但也有希望、想要的意思。
穷：尽，使达到极点。
千里目：眼界宽阔。
更：再。
",mp3,0,0,0,2021-03-22 14:51:50,1,1
归嵩山作,"
清川带长薄，车马去闲闲。
流水如有意，暮禽相与还。
荒城临古渡，落日满秋山。
迢递嵩高下，归来且闭关。

",王维,"译文
清澈的流水环绕一片草木丛生的沼泽地，驾着车马徐徐而去从容悠闲。
流水有意与我同去永不回返，暮鸟有心跟我一起倦飞知还。
荒凉的城池紧挨着古老的渡口，落日的余晖洒满经秋的重山。
远远地来到嵩山脚下安家落户，紧闭房门谢绝世俗度过晚年。
","注释
嵩山：五岳之一，称中岳，地处河南省登封市西北面。
清川：清清的流水，当指伊水及其支流。清：一作“晴”。川：河川。带：围绕，映带。薄：草木丛生之地，草木交错曰薄。
去：行走。闲闲：从容自得的样子。
暮禽：傍晚的鸟儿。禽：一作“云”。相与：相互作伴。

",mp3,0,0,0,2021-03-22 14:51:50,1,1
观公孙大娘弟子舞剑器行,"大历二年十月十九日，夔府别驾元持宅，见临颍李十二娘舞剑器，壮其蔚跂，问其所师，曰：“余公孙大娘弟子也。” 开元五载，余尚童稚，记于郾城观公孙氏，舞剑器浑脱，浏漓顿挫，独出冠时，自高头宜春梨园二伎坊内人洎外供奉舞女，晓是舞者，圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首，今兹弟子，亦非盛颜。既辨其由来，知波澜莫二，抚事慷慨，聊为《剑器行》。昔者吴人张旭，善草书帖，数常于邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激，即公孙可知矣。
昔有佳人公孙氏，一舞剑器动四方。
观者如山色沮丧，天地为之久低昂。
㸌如羿射九日落，矫如群帝骖龙翔。
来如雷霆收震怒，罢如江海凝清光。
绛唇珠袖两寂寞，晚有弟子传芬芳。
临颍美人在白帝，妙舞此曲神扬扬。
与余问答既有以，感时抚事增惋伤。
先帝侍女八千人，公孙剑器初第一。
五十年间似反掌，风尘澒洞昏王室。
梨园弟子散如烟，女乐余姿映寒日。
金粟堆前木已拱，瞿唐石城草萧瑟。
玳筵急管曲复终，乐极哀来月东出。
老夫不知其所往，足茧荒山转愁疾。
",杜甫,"译文
唐大历二年十月十九日，我在夔府别驾元持家里，观看临颍李十二娘跳剑器舞，觉得舞姿矫健多变非常壮观， 就问她是向谁学习的？她说：“我是公孙大娘的学生”。玄宗开元五年，我还年幼，记得在郾城看过公孙大娘跳《剑器》和《浑脱》舞，流畅飘逸而且节奏明朗，超群出众，当代第一，从皇宫内的宜春、梨园弟子 到宫外供奉的舞女中，懂得此舞的，在唐玄宗初年，只有公孙大娘一人而已。当年她服饰华美，容貌漂亮，如今我已是白首老翁，眼前她的弟子李十二娘，也已经不是年轻女子了。既然知道了她舞技的渊源，看来她们师徒的舞技一脉相承，抚今追昔，心中无限感慨，姑且写了《剑器行》这首诗。 听说过去吴州人张旭，他擅长书写

",,mp3,0,0,0,2021-03-22 14:51:50,1,1
筹笔驿,"
猿鸟犹疑畏简书，风云常为护储胥。
徒令上将挥神笔，终见降王走传车。
管乐有才原不忝，关张无命欲何如？
他年锦里经祠庙，梁父吟成恨有余。

",李商隐,"韵译
猿鸟犹疑是惊畏丞相的严明军令，
风云常常护着他军垒的藩篱栏栅。
诸葛亮徒然在这里挥笔运筹划算，
后主刘禅最终却乘坐邮车去投降。
孔明真不愧有管仲和乐毅的才干。
关公张飞已死他又怎能力挽狂澜？
往年我经过锦城时进谒了武侯祠，
曾经吟诵了梁父吟为他深表遗憾！
","注解
筹笔驿：旧址在今四川省广元县北。《方舆胜览》：“筹笔驿在绵州绵谷县北九十九里，蜀诸葛武侯出师，尝驻军筹划于此。”
猿鸟句：诸葛亮治军以严明称，这里意谓至今连鱼鸟还在惊畏他的简书。疑：惊。简书：指军令。古人将文字

",mp3,0,0,0,2021-03-22 14:51:50,1,1
新嫁娘词,"
三日入厨下，洗手作羹汤。
未谙姑食性，先遣小姑尝。

",王建,"新婚三天来到厨房，洗手亲自作羹汤。
还不熟悉婆婆的口味，做好先让小姑品尝。
","三日：古代风俗，新媳妇婚后三日须下厨房做饭菜。
羹：泛指做成浓的菜肴。
“未谙”句：意思是还不熟悉婆婆的口味。谙：熟悉。姑食性：婆婆的口味。
遣：让。小姑：一作“小娘”。丈夫的妹妹。也称小姑子。
",mp3,0,0,0,2021-03-22 14:51:51,1,1
次北固山下,"
客路青山外，行舟绿水前。(青山外 一作：青山下)
潮平两岸阔，风正一帆悬。
海日生残夜，江春入旧年。
乡书何处达？归雁洛阳边。

",王湾,"译文
郁郁葱葱的山外是旅客的道路，船航行在绿水之间。
潮水涨满，两岸与江水齐平，整个江面十分开阔，帆顺着风端直高挂。
夜幕还没有褪尽，旭日已在江上冉冉升起，还在旧年时分，江南已有了春天的气息。
我的家书应该送到什么地方呢？北去的归雁啊，请给我捎回洛阳那边！
","注释
次：旅途中暂时停宿，这里是停泊的意思。
北固山：在今江苏镇江北，三面临长江。
客路：旅途。
潮平两岸阔：潮水涨满，两岸与江水齐平，整个江面十分开阔。
风正：顺风。
悬：挂。
海日：海上的旭日。


",mp3,0,0,0,2021-03-22 14:51:51,1,1
锦瑟,"
锦瑟无端五十弦，一弦一柱思华年。
庄生晓梦迷蝴蝶，望帝春心托杜鹃。
沧海月明珠有泪，蓝田日暖玉生烟。
此情可待成追忆？只是当时已惘然。

",李商隐,"译文
精美的瑟为什么竟有五十根弦，一弦一柱都叫我追忆青春年华。
庄周翩翩起舞睡梦中化为蝴蝶，望帝把自己的幽恨托身于杜鹃。
沧海明月高照，鲛人泣泪皆成珠；蓝田红日和暖，可看到良玉生烟。
此时此景为什么要现在才追忆，只是当时的我茫茫然不懂得珍惜。
","注释
锦瑟：装饰华美的瑟。瑟：拨弦乐器，通常二十五弦。
无端：犹何故。怨怪之词。五十弦：这里是托古之词。作者的原意，当也是说锦瑟本应是二十五弦。
“庄生”句：《庄子·齐物论》：“庄周梦为蝴蝶，栩栩然蝴蝶也；自喻适志与！不知周也。俄然觉，则蘧蘧然周也。不知周之梦为蝴

",mp3,0,0,0,2021-03-22 14:51:51,1,1
